-,#x002d
A,#x0041
B,#x0042
C,#x0043
D,#x0044
E,#x0045
F,#x0046
G,#x0047
H,#x0048
I,#x0049
J,#x004A
K,#x004B
L,#x004C
M,#x004D
N,#x004E
O,#x004F
P,#x0050
Q,#x0051
R,#x0052
S,#x0053
T,#x0054
U,#x0055
V,#x0056
W,#x0057
X,#x0058
Y,#x0059
Z,#x005A
a,#x0061
b,#x0062
c,#x0063
d,#x0064
e,#x0065
f,#x0066
g,#x0067
h,#x0068
i,#x0069
j,#x006A
k,#x006B
l,#x006C
m,#x006D
n,#x006E
o,#x006F
p,#x0070
q,#x0071
r,#x0072
s,#x0073
t,#x0074
u,#x0075
v,#x0076
w,#x0077
x,#x0078
y,#x0079
z,#x007A
0,#x0030
zero,#x0030
1,#x0031
one,#x0031
2,#x0032
two,#x0032
3,#x0033
three,#x0033
4,#x0034
four,#x0034
5,#x0035
five,#x0035
6,#x0036
six,#x0036
7,#x0037
seven,#x0037
8,#x0038
eight,#x0038
9,#x0039
nine,#x0039
Agrave,#x00C0
Aacute,#x00C1
Ahat,#x00C2
Atilde,#x00C3
Aumlaut,#x00C4
Acirc,#x00C5
Ccedille,#x00C7
Egrave,#x00C8
Eacute,#x00C9
Ehat,#x00CA
Eumlaut,#x00CB
Igrave,#x00CC
Iacute,#x00CD
Ihat,#x00CE
Iumlaut,#x00CF
Ntilde,#x00D1
Ograve,#x00D2
Oacute,#x00D3
Ohat,#x00D4
Otilde,#x00D5
Oumlaut,#x00D6
Oslash,#x00D8
Ugrave,#x00D9
Uacute,#x00DA
Uhat,#x00DB
Uumlaut,#x00DC
Yacute,#x00DD
ss,#x00DF
agrave,#x00E0
aacute,#x00E1
ahat,#x00E2
atilde,#x00E3
aumlaut,#x00E4
acirc,#x00E5
ccedille,#x00E7
egrave,#x00E8
eacute,#x00E9
ehat,#x00EA
eumlaut,#x00EB
igrave,#x00EC
iacute,#x00ED
ihat,#x00EE
iumlaut,#x00EF
ntilde,#x00F1
ograve,#x00F2
oacute,#x00F3
ohat,#x00F4
otilde,#x00F5
oumlaut,#x00F6
oslash,#x00F8
ugrave,#x00F9
uacute,#x00FA
uhat,#x00FB
uumlaut,#x00FC
yacute,#x00FD
Ucirc,#x00DB
icirc,#x00EE
Gamma,#x0393
Delta,#x0394
Theta,#x0398
Lambda,#x039B
Xi,#x039E
Pi,#x03A0
Sigma,#x03A3
Upsilon,#x03D2
Phi,#x03A6
Psi,#x03A8
Omega,#x03A9
alpha,#x03B1
beta,#x03B2
gamma,#x03B3
delta,#x03B4
epsilon,#x03B5
zeta,#x03B6
eta,#x03B7
theta,#x03B8
iota,#x03B9
kappa,#x03BA
lambda,#x03BB
mu,#x03BC
nu,#x03BD
xi,#x03BE
pi,#x03C0
rho,#x03C1
sigma,#x03C3
tau,#x03C4
upsilon,#x03C5
phi,#x03C6
chi,#x03C7
psi,#x03C8
omega,#x03C9
varepsilon,#x03B5
vartheta,#x03D1
varpi,#x03D6
varrho,#x03F1
varsigma,#x03C2
varphi,#x03D5
Abar,#x0100
abar,#x0101
Abreve,#x0102
abreve,#x0103
Aogon,#x0104
aogon,#x0105
Cacute,#x0106
cacute,#x0107
Ccirc,#x0108
ccirc,#x0109
Cdot,#x010A
cwithdot,#x010B
Ccheck,#x010C
ccheck,#x010D
Dcheck,#x010E
dcheck,#x010F
Dstrok,#x0110
dstrok,#x0111
Ebar,#x0112
ebar,#x0113
Ebreve,#x0114
ebreve,#x0115
Edot,#x0116
edot,#x0117
Eogon,#x0118
eogon,#x0119
Echeck,#x011A
echeck,#x011B
Gcirc,#x011C
gcirc,#x011D
Gbreve,#x011E
gbreve,#x011F
Gdot,#x0120
gdot,#x0121
Gcedil,#x0122
gacute,#x01F5
Hcirc,#x0124
hcirc,#x0125
Hstrok,#x0126
hstrok,#x0127
Itilde,#x0128
itilde,#x0129
Ibar,#x012A
ibar,#x012B
Ibreve,#x012C
ibreve,#x012D
Iogon,#x012E
iogon,#x012F
Idot,#x0130
imath,#x0131
IJlig,#x0132
ijlig,#x0133
Jhat,#x0134
jhat,#x0135
Kcedil,#x0136
kcedil,#x0137
kgreen,#x0138
Lacute,#x0139
lacute,#x013A
Lcedil,#x013B
lcedil,#x013C
Lcalon,#x013D
lcaron,#x013E
Lmidot,#x013F
lmidot,#x0140
Lstrok,#x0141
lstrok,#x0142
Nacute,#x0143
nacute,#x0144
Ncedil,#x0145
ncedil,#x0146
Ncheck,#x0147
ncheck,#x0148
napos,#x0149
ENG,#x014A
eng,#x014B
Obar,#x014C
obar,#x014D
Obreve,#x014E
obreve,#x014F
Olong,#x0150
olong,#x0151
OElig,#x0152
oelig,#x0153
Racute,#x0154
racute,#x0155
Rcedil,#x0156
rcedil,#x0157
Rcheck,#x0158
rcheck,#x0159
Sacute,#x015A
sacute,#x015B
Shat,#x015C
shat,#x015D
Scedil,#x015E
scedil,#x015F
Scheck,#x0160
scheck,#x0161
Tcedil,#x0162
tcedil,#x0163
Tcheck,#x0164
tcheck,#x0165
Tstrok,#x0166
tstrok,#x0167
Utilde,#x0168
utilde,#x0169
Ubar,#x016A
ubar,#x016B
Ubreve,#x016C
ubreve,#x016D
Uring,#x016E
uring,#x016F
Ulong,#x0170
ulong,#x0171
Uogon,#x0172
uogon,#x0173
What,#x0174
what,#x0175
Yhat,#x0176
yhat,#x0177
Yumlaut,#x0178
Zacute,#x0179
zacute,#x017A
Zdot,#x017B
zdot,#x017C
Zcheck,#x017D
zcheck,#x017E
Jcirc,#x0134
jcirc,#x0135
Lcheck,#x013D
lcheck,#x013E
Scirc,#x015C
scirc,#x015D
Wcirc,#x0174
wcirc,#x0175
Ycirc,#x0176
ycirc,#x0177
Yuml,#x0178
ae,#x00E6
oe,#x0153
ff,#xFB00
fi,#xFB01
fl,#xFB02
ffi,#xFB03
ffl,#xFB04
ft,#xFB05
fft,#xFB06
,
egg0,
egg1,
egg2,
egg3,
egg4,
egg5,
egg6,
egg7,
egg8,
egg9,
egg10,
egg11,
egg12,
egg13,
egg14,
egg15,
egg16,
egg17,
egg18,
egg19,
egg20,
egg21,
eggA,
eggB,
eggC,
eggD,
eggE,
eggF,
eggG,
eggH,
eggI,
eggJ,
eggK,
eggL,
eggM,
eggN,
eggO,
eggP,
eggQ,
eggR,
eggS,
eggT,
eggU,
eggV,
eggW,
eggX,
eggY,
eggZ,
egga,
eggb,
eggc,
eggd,
egge,
eggf,
eggg,
eggh,
eggi,
eggj,
eggk,
eggl,
eggm,
eggn,
eggo,
eggp,
eggq,
eggr,
eggs,
eggt,
eggu,
eggv,
eggw,
eggx,
eggy,
eggz,
lt,#x003C
less,#x003C
equal,#x003D
gt,#x003E
greater,#x003E
in,#x2208
ni,#x220B
subset,#x2282
supset,#x2283
Subset,#x22D0
Supset,#x22D1
leq,#x2264
geq,#x2265
leqq,#x2266
geqq,#x2267
ll,#x226A
gg,#x226B
equiv,#x2261
doteqdot,#x2251
neq,#x2260
notsubset,#x2284
notsupset,#x2285
notin,#x2209
notni,#x220C
sim,#x223C
approx,#x2248
simeq,#x2243
cong,#x2245
prec,#x227A
succ,#x227B
propto,#x221D
parallel,#x2225
perp,#x22A5
vdash,#x22A2
dashv,#x22A3
triangleleft,
triangleright,
risingdotseq,#x2253
fallingdotseq,#x2252
subseteq,#x2286
supseteq,#x2287
subseteqq,#x2286
supseteqq,#x2287
subsetnoteq,#x228A
supsetnoteq,#x228B
subsetnoteqq,#x228A
supsetnoteqq,#x228B
preceq,#x227C
succeq,#x227D
models,#x22A7
notsimeq,#x2244
notleq,
notgeq,
notleqq,
notgeqq,
notequiv,#x2262
lessgtr,#x2276
gtrless,#x2277
notcong,#x2247
varpitchfork,
lessapprox,
gtrapprox,
smile,#x2323
frown,#x2322
asymp,#x224D
nmid,#x2224
nsubseteq,#x2288
nsupseteq,#x2289
notparallel,#x2226
nprec,#x2280
nsucc,#x2281
ampersand,#x0026
ast,#x002A
plus,#x002B
minus,#x2212
slash,#x002F
backslash,#x005C
pm,#x00B1
mp,#x2213
times,#x00D7
div,#x00F7
oplus,#x2295
ominus,#x2296
otimes,#x2297
cup,#x22C3
cap,#x22C2
vee,#x22C1
wedge,#x22C0
dotplus,#x2214
ltimes,#x22C9
rtimes,#x22CA
bigodot,#x2299
Hat,#x005E
circ,#x25CB
int,#x222B
oint,#x222E
sqrt,#x221A
sum,#x2211
prod,#x220F
coprod,#x2210
bigcup,#x22C3
bigcap,#x22C2
bigvee,#x02C1
bigwedge,#x22C0
bigoplus,#x2295
bigotimes,#x2297
iint,#x222C
iiint,#x222D
iiiint,#x2A0C
idotsint,
frac,
contfrac,
leftarrow,#x2190
rightarrow,#x2192
Leftarrow,#x21D0
Rightarrow,#x21D2
leftrightarrow,#x2194
Leftrightarrow,#x21D4
uparrow,#x2191
downarrow,#x2193
Uparrow,#x21D1
Downarrow,#x21D3
searrow,#x2198
nearrow,#x2197
swarrow,#x2199
nwarrow,#x2196
mapsto,#x21A6
hookrightarrow,#x21AA
acute,#x00B4
grave,#x0060
hat,#x005E
tilde,#x02DC
check,#x02C7
breve,#x02D8
overline,#x00AF
dot,#x02D9
ddot,#x00A8
vec,#x20D7
dddot,#x20DB
underline,#x005F
ttilde,#x223C
mathring,
vert,#x007C
Vert,#x2016
leftpar,#x0028
rightpar,#x0029
middleleftpar,#x007B
middlerightpar,#x007D
bigleftpar,#x005B
bigrightpar,#x005D
ulcorner,#x250C
urcorner,#x2510
llcorner,#x2514
lrcorner,#x251A
lfloor,#x230A
rfloor,#x230B
lceil,#x2308
rceil,#x2309
langle,#x2329
rangle,#x232A
underbrace,#xFE38
overbrace,#xFE37
exclamation,#x0021
sharp,#x0023
doller,#x0024
parcent,#x0025
question,#x003F
atmark,#x0040
yen,#x00A5
lowline,#x005F
infty,#x221E
partial,#x2202
nabla,#x2207
ell,#x2113
hslash,#x045B
re,#x211C
im,#x2111
aleph,#x2135
emptyset,#x2205
forall,#x2200
exists,#x2203
neg,#x00AC
angle,#x2220
triangle,#x25B3
square,#x25A1
parallelogram,
blacksquare,
section,#x00A7
dagger,#x2020
ddagger,#x2021
KnuthP,#x00B6
flat,#x266D
natural,#x266E
copyright,#x00A9
wp,#x211A
star,#x2605
fbox,
fcircle,
hyphen,#x2010
longhyphen,#x2014
hbar,
differential,
ImaginaryNumber,
NapierNumber,
doubleendquartation,#x0094
singleendquartation,#x0092
comma,#x002C
period,#x002E
bullet,#x2022
colon,#x003A
semicolon,#x003B
singlebeginquartation,#x0091
doublebeginquartation,#x0093
cdots,#x25EF
ldots,#x2026
cdot,#x00B7
vdots,#x22EE
ddots,#x22F1
prime,#x2032
notequal,#x2260
doubleprime,#x2033
tripleprime,#x2034
sin,sin
cos,cos
tan,tan
log,log
deg,deg
det,det
dim,dim
exp,exp
mod,mod
lim,lim
inf,inf
sup,sup
max,max
min,min
sinh,sinh
cosh,cosh
tanh,tanh
cot,cot
coth,coth
csc,csc
sec,sec
gcd,gcd
arcsin,arcsin
arccos,arccos
arctan,arctan
Log,Log
hom,hom
Div,Div
arg,arg
Res,Res
ln,ln
Re,Re
Im,Im
liminf,liminf
arc,arc
limsup,limsup
varliminf,varliminf
ker,ker
varlimsup,varlimsup
lg,lg
varinjlim,varinjlim
Pr,Pr
varprojlim,varprojlim
Arccos,Arccos
Arcsin,Arcsin
Arctan,Arctan
Arg,Arg
coker,coker
Coker,Coker
Det,Det
Dim,Dim
ess,ess
Exp,Exp
Ext,Ext
grad,grad
Grad,Grad
hess,hess
Hess,Hess
Hom,Hom
Ker,Ker
LIM,l.i.m
Max,Max
Min,Min
pr,pr
res,res
ric,ric
Ric,Ric
Spec,Spec
spec,spec
Tor,Tor
Trace,Trace
trace,trace
vol,vol
Vol,Vol
Dom,Dom
loc,loc
sinech,sinech
cosech,cosech
tanech,tanech
secech,secech
cotech,cotech
cosecech,cosecech
Ln,Ln
cosec,cosec
sech,sech
ext,ext
argmax,argmax
ArgMax,ArgMax
argmin,argmin
ArgMin,ArgMin
Reject,#xFFFF
Space,#x0020
DoubleSpace,
HalfSpace,
QuarterSpace,
Tab,#x0009
Return,#x000D
Null,#x0000
NewLine,#x000A
Nextline,
InlineStyle,
Reject1,
Reject2,
Reject3,
Reject4,
Reject5,
Reject6,
Reject7,
Reject8,
Reject9,
Reject10,
Page,
Text,
Header,
Footer,
Footnote,
Title,
Caption,
Figure,
Table,
Cell,
Line,
Matrix,
Element,
Case,
Array,
